mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__n_estimators,param_xgbclassifier__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
46.277518200874326,2.082403437720901,0.8981872081756592,0.17533102943705295,0.34708610696262626,0.5804285838459496,5,4,800,81,"{'xgbclassifier__colsample_bytree': 0.34708610696262626, 'xgbclassifier__learning_rate': 0.5804285838459496, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__n_estimators': 800, 'xgbclassifier__scale_pos_weight': 81}",0.4592286276402242,0.46402902262343143,0.4593755064609079,0.3999779582572699,0.4588805001960206,0.4372869402815396,0.44419073951133003,0.46129075648209417,0.418229655615396,0.45452611777968427,0.44570158248478975,0.020295014853460226,2
9.661828589439391,0.12284014904349862,0.17996764183044434,0.0194195531278418,0.15041677639819287,0.10359671220172158,5,3,187,81,"{'xgbclassifier__colsample_bytree': 0.15041677639819287, 'xgbclassifier__learning_rate': 0.10359671220172158, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 187, 'xgbclassifier__scale_pos_weight': 81}",0.39252123872377037,0.41692853460339285,0.41695265445430396,0.3969012648001818,0.41065813871752327,0.3803170603459461,0.37905256372342155,0.39424233706801365,0.40625249720634804,0.4042121444388641,0.39980384340817654,0.012918640479096832,7
40.93012490272522,2.0402230462028657,0.6148581504821777,0.08016395452684615,0.551003510568888,0.4348435466776273,7,2,443,101,"{'xgbclassifier__colsample_bytree': 0.551003510568888, 'xgbclassifier__learning_rate': 0.4348435466776273, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 443, 'xgbclassifier__scale_pos_weight': 101}",0.45160168694651454,0.4663320327692764,0.4685842900325322,0.39131256787805835,0.4483244875332261,0.43572927570958336,0.44962179971927135,0.43224699879686607,0.4365014322434304,0.45845132903749863,0.44387059006662577,0.02111540635215826,3
16.26372902393341,1.29827625383839,0.15708162784576415,0.02021853467442938,0.010700889256912895,0.6053269355747305,3,4,413,101,"{'xgbclassifier__colsample_bytree': 0.010700889256912895, 'xgbclassifier__learning_rate': 0.6053269355747305, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__n_estimators': 413, 'xgbclassifier__scale_pos_weight': 101}",0.3809776983823175,0.39066189357745923,0.41480261020586273,0.3951974502588666,0.392671378052067,0.38455871238151795,0.3770366075315087,0.38848603644338175,0.405647819950813,0.3952863145363654,0.392532652132016,0.01067597590745264,8
23.545234704017638,0.579192475364128,0.1914149284362793,0.02936606100920954,0.016359674697745664,0.023837455024849456,5,3,610,181,"{'xgbclassifier__colsample_bytree': 0.016359674697745664, 'xgbclassifier__learning_rate': 0.023837455024849456, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 610, 'xgbclassifier__scale_pos_weight': 181}",0.22249752229930625,0.22249752229930625,0.22249752229930625,0.22257105089226703,0.22257105089226703,0.22257105089226703,0.22257105089226703,0.22257105089226703,0.22257105089226703,0.2224793388429752,0.22253982110944964,3.857132171115559e-05,10
30.6465785741806,0.7309040325885998,0.43907556533813474,0.03018908596681116,0.05199909689225389,0.5942533113048755,5,4,666,61,"{'xgbclassifier__colsample_bytree': 0.05199909689225389, 'xgbclassifier__learning_rate': 0.5942533113048755, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__n_estimators': 666, 'xgbclassifier__scale_pos_weight': 61}",0.4381607406994749,0.46801100315009536,0.4460648297335515,0.4156175841536438,0.44498926836193076,0.42923666117978915,0.43121606118949757,0.42493937204471494,0.4178186930629763,0.4407018280590991,0.4356756041634774,0.014729239076682362,5
10.18846092224121,0.6151932062087333,0.16955287456512452,0.059816705480922584,0.5431731119758383,0.03787024763199864,5,3,120,161,"{'xgbclassifier__colsample_bytree': 0.5431731119758383, 'xgbclassifier__learning_rate': 0.03787024763199864, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 120, 'xgbclassifier__scale_pos_weight': 161}",0.3761773524750974,0.3891209722568607,0.36985451892827564,0.38548634276189175,0.3700162784662516,0.36331591201419755,0.3651399388610761,0.37143375753786584,0.38984845367334725,0.37815692031101417,0.3758550447285878,0.009119503095661204,9
23.29540376663208,1.6909634365352906,0.4989874601364136,0.27735748993862197,0.06854643368675156,0.5793313223519999,6,2,341,181,"{'xgbclassifier__colsample_bytree': 0.06854643368675156, 'xgbclassifier__learning_rate': 0.5793313223519999, 'xgbclassifier__max_depth': 6, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 341, 'xgbclassifier__scale_pos_weight': 181}",0.4392086045520667,0.46524844533269744,0.44578546566874844,0.41396635839600854,0.45622820099170897,0.4171159553094398,0.44138774891454946,0.43802945358565243,0.42596521234262363,0.46694835225126397,0.4409883797344759,0.017480261223279746,4
45.01230368614197,6.622400843217373,0.8463884592056274,0.4031320420654423,0.2841523922560336,0.06860326840383031,6,4,466,121,"{'xgbclassifier__colsample_bytree': 0.2841523922560336, 'xgbclassifier__learning_rate': 0.06860326840383031, 'xgbclassifier__max_depth': 6, 'xgbclassifier__min_child_weight': 4, 'xgbclassifier__n_estimators': 466, 'xgbclassifier__scale_pos_weight': 121}",0.4163559686469036,0.4697409756996689,0.45133562663040944,0.410370576426098,0.4346949729238622,0.4169259515922224,0.4320064393808021,0.4237030250048982,0.4288164665523156,0.45170649198287993,0.43356564948400605,0.017855288190004166,6
21.086510467529298,3.8834431613677216,0.2793241262435913,0.14613219147389864,0.5589969920043588,0.5099169470416985,5,2,180,61,"{'xgbclassifier__colsample_bytree': 0.5589969920043588, 'xgbclassifier__learning_rate': 0.5099169470416985, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 180, 'xgbclassifier__scale_pos_weight': 61}",0.4606750368513459,0.47280492940546215,0.46602078677284264,0.4104058168284279,0.453734136805248,0.4294523303664072,0.45152621565665046,0.44786135942404504,0.4339803157364163,0.4489791041804701,0.4475440032027316,0.0176033891597704,1
